4128	NORTE	34	urbano	feminino	parda	quinta série fundamental	analfabeto ou sem instrução	quarta série fundamental completa	1000	1490	9	1	evangélica	5	5	5	5	5	2	5	2	2	4	2	1	2	5	2	4	2	5	2	2	4	5	5	4	2	5	5
4130	NORTE	53	urbano	masculino	branca	médio completo	oitava série fundamental incompleta	oitava série fundamental incompleta	4800	4900	3	1	católica	4	5	2	5	5	2	5	4	4	4	5	2	4	4	1	4	5	5	2	2	4	4	5	5	4	4	5
4134	NORTE	31	urbano	masculino	preta	analfabeto ou sem instrução	analfabeto ou sem instrução	analfabeto ou sem instrução	678	678	5	1	evangélica	4	3	2	5	2	2	5	5	4	5	1	5	2	2	2	2	ns	2	ns	2	4	2	5	2	2	2	2
4135	NORDESTE	38	urbano	feminino	parda	sétima série fundamental	cursou superior sem concluir	segunda série médio	1000	1000	4	2	católica	4	1	1	5	5	1	4	4	1	5	5	5	1	5	5	1	5	5	5	1	1	5	1	1	5	3	4
4138	NORDESTE	21	urbano	feminino	parda	primeira série médio	analfabeto ou sem instrução	analfabeto ou sem instrução	678	678	2	2	evangélica	4	1	5	1	5	4	5	4	1	1	1	5	4	5	5	5	4	4	1	1	5	4	4	1	5	2	1
4139	NORTE	24	urbano	feminino	parda	primeira série médio	não conheceu	quinta série fundamental	678		5	2	evangélica	4	3	2	5	5	5	5	5	2	4	4	1	2	2	2	2	5	4	2	2	2	2	2	5	2	2	5
4140	NORDESTE	65	urbano	feminino	parda	superior completo	analfabeto ou sem instrução	analfabeto ou sem instrução	678	1200	7	2	católica	1	1	4	4	2	5	5	4	5	5	5	5	4	1	1	1	4	5	5	1	1	5	5	1	1	1	4
4142	NORTE	47	urbano	feminino	parda	médio completo	quarta série fundamental completa	analfabeto ou sem instrução	700	700	4	2	católica	2	1	2	5	4	1	5	4	5	4	4	4	2	2	2	2	5	5	4	4	4	2	ns	5	1	4	4
4147	NORDESTE	40	urbano	masculino	parda	fundamental completa	segunda série fundamental	sétima série fundamental	678	3000	6	2	católica	4	1	4	4	2	4	5	4	1	5	4	4	4	4	4	1	4	4	5	5	4	2	4	1	1	5	4
4148	NORTE	29	urbano	masculino	parda	médio completo	quinta série fundamental	médio completo	678	800	3	1	católica	2	3	4	5	5	2	4	1	1	5	5	4	2	4	4	1	5	5	2	4	2	2	2	5	2	4	1
4149	NORDESTE	49	urbano	feminino	amarela	médio completo	primeira série médio	analfabeto ou sem instrução	2000	2000	2	2	católica	5	5	2	2	2	1	2	2	1	1	5	1	2	4	2	1	5	5	4	4	5	5	5	4	5	4	5
4150	NORDESTE	27	urbano	feminino	branca	segunda série médio	não sabe	não sabe	300	3000	3	2	evangélica	1	2	1	1	1	1	2	5	1	1	2	4	1	1	1	1	1	4	4	1	1	1	1	5	1	1	5
4155	NORDESTE	18	urbano	masculino	branca	terceira série médio incompleto	superior completo	mestrado		6000	4	2	católica	1	5	4	5	1	2	5	5	1	4	5	5	5	1	1	2	1	5	5	1	5	5	4	1	1	1	5
4157	NORDESTE	53	urbano	feminino	amarela	médio completo	primeira série médio	analfabeto ou sem instrução	2000		5	2	espírita	5	5	2	5	2	1	2	2	1	4	5	1	2	4	2	1	5	5	4	4	5	5	5	4	5	4	5
4159	NORDESTE	39	urbano	masculino	branca	segunda série fundamental	analfabeto ou sem instrução	primeira série fundamental	678	1500	2	2	evangélica	5	4	5	5	5	5	5	5	1	5	4	4	5	5	1	5	4	4	4	5	4	5	5	5	1	4	4
4162	NORDESTE	66	urbano	masculino	parda	segunda série fundamental	terceira série fundamental	terceira série fundamental	678	1500	7	1	evangélica	1	5	1	5	5	5	1	5	4	4	5	3	2	1	1	1	5	5	5	5	5	1	2	5	1	5	1
4165	NORDESTE	65	urbano	feminino	parda	médio completo	primeira série fundamental	sexta série fundamental	500	2000	3	1	católica	2	4	5	4	5	1	4	5	1	5	4	5	1	1	1	1	5	4	4	1	5	1	5	4	4	1	1
4169	NORDESTE	49	urbano	feminino	parda	segunda série médio	analfabeto ou sem instrução	analfabeto ou sem instrução	678	2000	5	2	católica	1	2	2	5	4	5	5	5	5	4	5	5	1	2	1	4	5	4	1	2	2	2	5	5	1	1	5
4170	NORDESTE	59	urbano	feminino	branca	médio completo	não sabe	quarta série fundamental completa			4	2	católica	1	2	2	2	4	4	5	4	4	4	4	4	4	1	3	1	4	4	4	2	1	4	4	2	1	2	4
4182	NORTE	19	urbano	feminino	parda	médio completo	oitava série fundamental incompleta	quinta série fundamental	350	350	3	1	sem	4	2	2	5	5	2	5	4	2	2	2	5	2	4	2	2	5	5	4	4	4	2	5	4	2	2	5
